company,role,industry,location,date posted,pay,application link,work mode,notes
Dexcom,2026 Summer Intern,Healthcare Services,"San Diego, CA",June 2025,Not listed,https://careers.dexcom.com/careers?domain=dexcom.com&src=LinkedIn&start=0&pid=28032413&sort_by=hot,In person,N/A
Northwestern Mutual,Finance Intern,Financial Planning,"La Jolla, CA",July 2025,Not listed,"https://interns-northwesternmutual.icims.com/jobs/14406/college-financial-representative,-internship-program/job?mobile=false&width=1424&height=500&bga=true&needsRedirect=false&jan1offset=-480&jun1offset=-420",In person,N/A
